The Shawshank Redemption;1994;Drama;9.3;Frank Darabont
The Godfather;1972;Crime;9.2;Francis Ford Coppola
The Dark Knight;2008;Action;9.0;Christopher Nolan
The Godfather: Part II;1974;Crime;9.0;Francis Ford Coppola
12 Angry Men;1957;Crime;9.0;Sidney Lumet
Schindler's List;1993;Biography;9.0;Steven Spielberg
The Lord of the Rings: The Return of the King;2003;Action;9.0;Peter Jackson
Pulp Fiction;1994;Crime;8.9;Quentin Tarantino
The Lord of the Rings: The Fellowship of the Ring;2001;Action;8.8;Peter Jackson
Il buono, il brutto, il cattivo;1966;Adventure;8.8;Sergio Leone
Forrest Gump;1994;Drama;8.8;Robert Zemeckis
Fight Club;1999;Drama;8.8;David Fincher
Inception;2010;Action;8.8;Christopher Nolan
The Lord of the Rings: The Two Towers;2002;Action;8.8;Peter Jackson
The Empire Strikes Back;1980;Action;8.7;Irvin Kershner
The Matrix;1999;Action;8.7;Lana Wachowski
Goodfellas;1990;Biography;8.7;Martin Scorsese
One Flew Over the Cuckoo's Nest;1975;Drama;8.7;Milos Forman
Se7en;1995;Crime;8.6;David Fincher
Shichinin no samurai;1954;Action;8.6;Akira Kurosawa
It's a Wonderful Life;1946;Drama;8.6;Frank Capra
The Silence of the Lambs;1991;Crime;8.6;Jonathan Demme
Cidade de Deus;2002;Crime;8.6;Fernando Meirelles
Saving Private Ryan;1998;Drama;8.6;Steven Spielberg
La vita è bella;1997;Comedy;8.6;Roberto Benigni
The Green Mile;1999;Crime;8.6;Frank Darabont
Star Wars;1977;Action;8.6;George Lucas
Interstellar;2014;Adventure;8.6;Christopher Nolan
Terminator 2: Judgment Day;1991;Action;8.6;James Cameron
Back to the Future;1985;Adventure;8.5;Robert Zemeckis
Sen to Chihiro no kamikakushi;2001;Animation;8.6;Hayao Miyazaki
Psycho;1960;Horror;8.5;Alfred Hitchcock
The Pianist;2002;Biography;8.5;Roman Polanski
Léon;1994;Action;8.5;Luc Besson
Gisaengchung;2019;Comedy;8.5;Bong Joon Ho
The Lion King;1994;Animation;8.5;Roger Allers
American History X;1998;Drama;8.5;Tony Kaye
Gladiator;2000;Action;8.5;Ridley Scott
The Usual Suspects;1995;Crime;8.5;Bryan Singer
The Departed;2006;Crime;8.5;Martin Scorsese
The Prestige;2006;Drama;8.5;Christopher Nolan
Casablanca;1942;Drama;8.5;Michael Curtiz
Whiplash;2014;Drama;8.5;Damien Chazelle
Intouchables;2011;Biography;8.5;Olivier Nakache
Modern Times;1936;Comedy;8.5;Charles Chaplin
Everything Everywhere All at Once;2022;Action;8.8;Dan Kwan
Seppuku;1962;Action;8.6;Masaki Kobayashi
C'era una volta il West;1968;Western;8.5;Sergio Leone
Hotaru no haka;1988;Animation;8.5;Isao Takahata
Rear Window;1954;Mystery;8.5;Alfred Hitchcock
Alien;1979;Horror;8.5;Ridley Scott
City Lights;1931;Comedy;8.5;Charles Chaplin
Nuovo Cinema Paradiso;1988;Drama;8.5;Giuseppe Tornatore
Memento;2000;Mystery;8.4;Christopher Nolan
Apocalypse Now;1979;Drama;8.5;Francis Ford Coppola
Raiders of the Lost Ark;1981;Action;8.4;Steven Spielberg
Django Unchained;2012;Drama;8.4;Quentin Tarantino
WALL·E;2008;Animation;8.4;Andrew Stanton
Das Leben der Anderen;2006;Drama;8.4;Florian Henckel von Donnersmarck
Sunset Blvd.;1950;Drama;8.4;Billy Wilder
Paths of Glory;1957;Drama;8.4;Stanley Kubrick
The Shining;1980;Drama;8.4;Stanley Kubrick
The Great Dictator;1940;Comedy;8.4;Charles Chaplin
Witness for the Prosecution;1957;Crime;8.4;Billy Wilder
Avengers: Infinity War;2018;Action;8.4;Anthony Russo
Aliens;1986;Action;8.4;James Cameron
American Beauty;1999;Drama;8.4;Sam Mendes
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;Comedy;8.4;Stanley Kubrick
The Dark Knight Rises;2012;Action;8.4;Christopher Nolan
Spider-Man: Into the Spider-Verse;2018;Animation;8.4;Bob Persichetti
Joker;2019;Crime;8.4;Todd Phillips
Oldeuboi;2003;Action;8.4;Park Chan-wook
Braveheart;1995;Biography;8.4;Mel Gibson
Amadeus;1984;Biography;8.4;Milos Forman
Toy Story;1995;Animation;8.3;John Lasseter
Coco;2017;Animation;8.4;Lee Unkrich
Das Boot;1981;Drama;8.4;Wolfgang Petersen
Inglourious Basterds;2009;Adventure;8.3;Quentin Tarantino
Mononoke-hime;1997;Animation;8.4;Hayao Miyazaki
Once Upon a Time in America;1984;Crime;8.3;Sergio Leone
Avengers: Endgame;2019;Action;8.4;Anthony Russo
Good Will Hunting;1997;Drama;8.3;Gus Van Sant
Requiem for a Dream;2000;Drama;8.3;Darren Aronofsky
Toy Story 3;2010;Animation;8.3;Lee Unkrich
Singin' in the Rain;1952;Comedy;8.3;Stanley Donen
Kimi no na wa.;2016;Animation;8.4;Makoto Shinkai
3 Idiots;2009;Comedy;8.4;Rajkumar Hirani
Star Wars: Episode VI - Return of the Jedi;1983;Action;8.3;Richard Marquand
2001: A Space Odyssey;1968;Adventure;8.3;Stanley Kubrick
Reservoir Dogs;1992;Crime;8.3;Quentin Tarantino
Eternal Sunshine of the Spotless Mind;2004;Drama;8.3;Michel Gondry
Tengoku to jigoku;1963;Crime;8.4;Akira Kurosawa
Citizen Kane;1941;Drama;8.3;Orson Welles
Capharnaüm;2018;Drama;8.4;Nadine Labaki
Lawrence of Arabia;1962;Adventure;8.3;David Lean
M - Eine Stadt sucht einen Mörder;1931;Crime;8.3;Fritz Lang
Jagten;2012;Drama;8.3;Thomas Vinterberg
North by Northwest;1959;Action;8.3;Alfred Hitchcock
Vertigo;1958;Mystery;8.3;Alfred Hitchcock
Le fabuleux destin d'Amélie Poulain;2001;Comedy;8.3;Jean-Pierre Jeunet
A Clockwork Orange;1971;Crime;8.3;Stanley Kubrick
Idi i smotri;1985;Drama;8.4;Elem Klimov
Full Metal Jacket;1987;Drama;8.3;Stanley Kubrick
Double Indemnity;1944;Crime;8.3;Billy Wilder
The Apartment;1960;Comedy;8.3;Billy Wilder
Spider-Man: No Way Home;2021;Action;8.4;Jon Watts
Scarface;1983;Crime;8.3;Brian De Palma
To Kill a Mockingbird;1962;Crime;8.3;Robert Mulligan
Taxi Driver;1976;Crime;8.3;Martin Scorsese
The Sting;1973;Comedy;8.3;George Roy Hill
Ikiru;1952;Drama;8.3;Akira Kurosawa
L.A. Confidential;1997;Crime;8.2;Curtis Hanson
Hamilton;2020;Biography;8.4;Thomas Kail
Up;2009;Animation;8.3;Pete Docter
Heat;1995;Action;8.3;Michael Mann
Metropolis;1927;Drama;8.3;Fritz Lang
Snatch;2000;Comedy;8.3;Guy Ritchie
Jodaeiye Nader az Simin;2011;Drama;8.3;Asghar Farhadi
Die Hard;1988;Action;8.2;John McTiernan
Incendies;2010;Drama;8.3;Denis Villeneuve
Indiana Jones and the Last Crusade;1989;Action;8.2;Steven Spielberg
Ladri di biciclette;1948;Drama;8.3;Vittorio De Sica
1917;2019;Action;8.2;Sam Mendes
Taare Zameen Par;2007;Drama;8.3;Aamir Khan
Der Untergang;2004;Biography;8.2;Oliver Hirschbiegel
Per qualche dollaro in più;1965;Western;8.2;Sergio Leone
Batman Begins;2005;Action;8.2;Christopher Nolan
Dangal;2016;Action;8.3;Nitesh Tiwari
The Kid;1921;Comedy;8.3;Charles Chaplin
Some Like It Hot;1959;Comedy;8.2;Billy Wilder
The Father;2020;Drama;8.3;Florian Zeller
All About Eve;1950;Drama;8.2;Joseph L. Mankiewicz
Green Book;2018;Biography;8.2;Peter Farrelly
The Wolf of Wall Street;2013;Biography;8.2;Martin Scorsese
Judgment at Nuremberg;1961;Drama;8.3;Stanley Kramer
Unforgiven;1992;Drama;8.2;Clint Eastwood
El laberinto del fauno;2006;Drama;8.2;Guillermo del Toro
Casino;1995;Crime;8.2;Martin Scorsese
Ran;1985;Action;8.2;Akira Kurosawa
There Will Be Blood;2007;Drama;8.2;Paul Thomas Anderson
The Sixth Sense;1999;Drama;8.2;M. Night Shyamalan
A Beautiful Mind;2001;Biography;8.2;Ron Howard
Monty Python and the Holy Grail;1975;Adventure;8.2;Terry Gilliam
The Truman Show;1998;Comedy;8.2;Peter Weir
Yôjinbô;1961;Action;8.2;Akira Kurosawa
The Treasure of the Sierra Madre;1948;Adventure;8.2;John Huston
Rashômon;1950;Crime;8.2;Akira Kurosawa
The Great Escape;1963;Adventure;8.2;John Sturges
Shutter Island;2010;Mystery;8.2;Martin Scorsese
Kill Bill: Vol. 1;2003;Action;8.2;Quentin Tarantino
Jurassic Park;1993;Action;8.2;Steven Spielberg
No Country for Old Men;2007;Crime;8.2;Ethan Coen
The Elephant Man;1980;Biography;8.2;David Lynch
Finding Nemo;2003;Animation;8.2;Andrew Stanton
Raging Bull;1980;Biography;8.2;Martin Scorsese
Chinatown;1974;Drama;8.2;Roman Polanski
Gone with the Wind;1939;Drama;8.2;Victor Fleming
V for Vendetta;2005;Action;8.2;James McTeigue
Inside Out;2015;Animation;8.2;Pete Docter
Lock, Stock and Two Smoking Barrels;1998;Action;8.2;Guy Ritchie
The Thing;1982;Horror;8.2;John Carpenter
Dial M for Murder;1954;Crime;8.2;Alfred Hitchcock
El secreto de sus ojos;2009;Drama;8.2;Juan José Campanella
The Bridge on the River Kwai;1957;Adventure;8.2;David Lean
Hauru no ugoku shiro;2004;Animation;8.2;Hayao Miyazaki
Three Billboards Outside Ebbing, Missouri;2017;Comedy;8.1;Martin McDonagh
Trainspotting;1996;Drama;8.1;Danny Boyle
Gran Torino;2008;Drama;8.1;Clint Eastwood
Warrior;2011;Action;8.2;Gavin O'Connor
Fargo;1996;Crime;8.1;Joel Coen
Tonari no Totoro;1988;Animation;8.1;Hayao Miyazaki
Prisoners;2013;Crime;8.1;Denis Villeneuve
Million Dollar Baby;2004;Drama;8.1;Clint Eastwood
The Gold Rush;1925;Adventure;8.2;Charles Chaplin
Blade Runner;1982;Action;8.1;Ridley Scott
Catch Me If You Can;2002;Biography;8.1;Steven Spielberg
On the Waterfront;1954;Crime;8.1;Elia Kazan
The Third Man;1949;Film-Noir;8.1;Carol Reed
Bacheha-Ye aseman;1997;Drama;8.2;Majid Majidi
Ben-Hur;1959;Adventure;8.1;William Wyler
The General;1926;Action;8.2;Clyde Bruckman
12 Years a Slave;2013;Biography;8.1;Steve McQueen
Gone Girl;2014;Drama;8.1;David Fincher
Smultronstället;1957;Drama;8.1;Ingmar Bergman
The Deer Hunter;1978;Drama;8.1;Michael Cimino
Before Sunrise;1995;Drama;8.1;Richard Linklater
Harry Potter and the Deathly Hallows: Part 2;2011;Adventure;8.1;David Yates
In the Name of the Father;1993;Biography;8.1;Jim Sheridan
The Grand Budapest Hotel;2014;Adventure;8.1;Wes Anderson
Mr. Smith Goes to Washington;1939;Comedy;8.1;Frank Capra
Le salaire de la peur;1953;Adventure;8.2;Henri-Georges Clouzot
Sherlock Jr.;1924;Action;8.2;Buster Keaton
Room;2015;Drama;8.1;Lenny Abrahamson
Barry Lyndon;1975;Adventure;8.1;Stanley Kubrick
Salinui chueok;2003;Crime;8.1;Bong Joon Ho
Det sjunde inseglet;1957;Drama;8.1;Ingmar Bergman
Hacksaw Ridge;2016;Biography;8.1;Mel Gibson
Klaus;2019;Animation;8.1;Sergio Pablos
Relatos salvajes;2014;Comedy;8.1;Damián Szifron
The Big Lebowski;1998;Comedy;8.1;Joel Coen
How to Train Your Dragon;2010;Animation;8.1;Dean DeBlois
Mad Max: Fury Road;2015;Action;8.1;George Miller
Mary and Max.;2009;Animation;8.1;Adam Elliot
Monsters, Inc.;2001;Animation;8.1;Pete Docter
Jaws;1975;Adventure;8.1;Steven Spielberg
Pather Panchali;1955;Drama;8.3;Satyajit Ray
La passion de Jeanne d'Arc;1928;Biography;8.2;Carl Theodor Dreyer
Hotel Rwanda;2004;Biography;8.1;Terry George
Tôkyô monogatari;1953;Drama;8.2;Yasujirô Ozu
Dead Poets Society;1989;Comedy;8.1;Peter Weir
Platoon;1986;Drama;8.1;Oliver Stone
Rocky;1976;Drama;8.1;John G. Avildsen
Ford v Ferrari;2019;Action;8.1;James Mangold
Stand by Me;1986;Adventure;8.1;Rob Reiner
The Terminator;1984;Action;8.1;James Cameron
Rush;2013;Action;8.1;Ron Howard
Spotlight;2015;Biography;8.1;Tom McCarthy
Into the Wild;2007;Adventure;8.1;Sean Penn
Network;1976;Drama;8.1;Sidney Lumet
The Wizard of Oz;1939;Adventure;8.1;Victor Fleming
Logan;2017;Action;8.1;James Mangold
Groundhog Day;1993;Comedy;8.1;Harold Ramis
Ratatouille;2007;Animation;8.1;Brad Bird
The Exorcist;1973;Horror;8.1;William Friedkin
Before Sunset;2004;Drama;8.1;Richard Linklater
The Best Years of Our Lives;1946;Drama;8.1;William Wyler
The Incredibles;2004;Animation;8.0;Brad Bird
To Be or Not to Be;1942;Comedy;8.2;Ernst Lubitsch
La battaglia di Algeri;1966;Drama;8.1;Gillo Pontecorvo
Rebecca;1940;Drama;8.1;Alfred Hitchcock
The Grapes of Wrath;1940;Drama;8.1;John Ford
Hachi: A Dog's Tale;2009;Biography;8.1;Lasse Hallström
Cool Hand Luke;1967;Crime;8.1;Stuart Rosenberg
Amores perros;2000;Drama;8.1;Alejandro G. Iñárritu
Dersu Uzala;1975;Adventure;8.2;Akira Kurosawa
Pirates of the Caribbean: The Curse of the Black Pearl;2003;Action;8.0;Gore Verbinski
Les quatre cents coups;1959;Crime;8.1;François Truffaut
Persona;1966;Drama;8.1;Ingmar Bergman
Babam ve Oglum;2005;Drama;8.2;Cagan Irmak
La haine;1995;Crime;8.1;Mathieu Kassovitz
Life of Brian;1979;Comedy;8.0;Terry Jones
The Sound of Music;1965;Biography;8.1;Robert Wise
It Happened One Night;1934;Comedy;8.1;Frank Capra
Ah-ga-ssi;2016;Drama;8.1;Park Chan-wook
Gandhi;1982;Biography;8.1;Richard Attenborough
Aladdin;1992;Animation;8.0;Ron Clements
The Help;2011;Drama;8.1;Tate Taylor
Beauty and the Beast;1991;Animation;8.0;Gary Trousdale
Dances with Wolves;1990;Adventure;8.0;Kevin Costner
Jai Bhim;2021;Crime;8.9;T.J. Gnanavel
