,Title,Genre,Year,Metascore,Userscore,Director,Duration
0,The Godfather,Drama,1972,100,9.2,Francis Ford Coppola,175
1,Rear Window,Mystery,1954,100,8.7,Alfred Hitchcock,112
2,Casablanca,Drama,1943,100,8.8,Michael Curtiz,102
3,Boyhood,Drama,2014,100,7.4,Richard Linklater,165
4,Three Colors: Red,Drama,1994,100,8.5,Krzysztof Kieslowski,99
5,Notorious,Drama,1946,100,7.9,Alfred Hitchcock,101
6,Singin' in the Rain,Comedy,1952,99,8.7,Gene Kelly and Stanley Donen,103
7,City Lights,Drama,1931,99,8.9,Charles Chaplin,87
8,Moonlight,Drama,2016,99,7.1,Barry Jenkins,111
9,Intolerance,Drama,1916,99,7.1,D.W. Griffith,197
10,Pinocchio,Fantasy,1940,99,8.1,Ben Sharpsteen and Bill Roberts and Hamilton Luske and Jack Kinney and Norman Ferguson and T. Hee and Wilfred Jackson,88
11,Touch of Evil,Drama,1958,99,8.4,Orson Welles,95
12,The Lady Vanishes,Mystery,1938,98,7.7,Alfred Hitchcock,96
13,The Treasure of the Sierra Madre,Adventure,1948,98,8.1,John Huston,126
14,Pan's Labyrinth,Drama,2006,98,8.7,Guillermo del Toro,118
15,Some Like It Hot,Comedy,1959,98,8.4,Billy Wilder,121
16,North by Northwest,Action,1959,98,8.0,Alfred Hitchcock,136
17,Hoop Dreams,Drama,1994,98,7.9,Steve James,170
18,Rashomon,Drama,1951,98,8.6,Akira Kurosawa,88
19,All About Eve,Drama,1950,98,8.8,Joseph L. Mankiewicz,138
20,Jules and Jim,Drama,1962,97,6.4,François Truffaut,105
21,The Wild Bunch,Action,1969,97,7.4,Sam Peckinpah,135
22,My Left Foot,Biography,1989,97,8.3,Jim Sheridan,103
23,The Third Man,Mystery,1949,97,8.5,Carol Reed,104
24,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Thriller,1964,97,8.4,Stanley Kubrick,95
25,"Quo Vadis, Aida?",Drama,2021,97,8.0,Jasmila Zbanic,101
26,Gone with the Wind,Drama,1940,97,8.3,George Cukor and Sam Wood and Victor Fleming,238
27,"4 Months, 3 Weeks and 2 Days",Drama,2008,97,7.9,Cristian Mungiu,113
28,Psycho,Mystery,1960,97,8.9,Alfred Hitchcock,109
29,Battleship Potemkin,Drama,1926,97,8.3,Sergei M. Eisenstein,75
30,A Streetcar Named Desire,Drama,1951,97,8.2,Elia Kazan,122
31,The Maltese Falcon,Mystery,1941,97,7.9,John Huston,100
32,American Graffiti,Drama,1973,97,7.5,George Lucas,110
33,Dumbo,Drama,1941,96,7.7,Ben Sharpsteen and Bill Roberts and Jack Kinney and John Elliotte and Norman Ferguson and Samuel Armstrong and Wilfred Jackson,64
34,Roma,Drama,2018,96,7.7,Alfonso Cuarón,135
35,Parasite,Drama,2019,96,8.7,Joon-ho Bong,132
36,Ran,Action,1985,96,8.4,Akira Kurosawa,162
37,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",Documentary,2021,96,7.4,Ahmir-Khalib Thompson,117
38,The Shop Around the Corner,Drama,1940,96,6.8,Ernst Lubitsch,99
39,12 Angry Men,Drama,1957,96,8.9,Sidney Lumet,96
40,Rosemary's Baby,Drama,1968,96,8.2,Roman Polanski,137
41,12 Years a Slave,Biography,2013,96,8.0,Steve McQueen,134
42,Manchester by the Sea,Drama,2016,96,8.2,Kenneth Lonergan,137
43,Killer of Sheep,Drama,2007,96,6.8,Charles Burnett,80
44,Nashville,Drama,1975,96,8.0,Robert Altman,160
45,Ratatouille,Fantasy,2007,96,8.6,Brad Bird,111
46,The Grapes of Wrath,Drama,1940,96,8.6,John Ford,129
47,Mean Streets,Drama,1973,96,7.3,Martin Scorsese,112
49,The Lady Eve,Comedy,1941,96,6.4,Preston Sturges,94
50,Gravity,Sci-Fi,2013,96,7.8,Alfonso Cuarón,91
51,Fantasia,Fantasy,1940,96,8.3,Ben Sharpsteen and Bill Roberts and David Hand and Ford Beebe Jr. and Hamilton Luske and James Algar and Jim Handley and Norman Ferguson and Paul Satterfield and Samuel Armstrong and T. Hee and Wilfred Jackson,125
52,Spirited Away,Adventure,2002,96,8.9,Hayao Miyazaki,125
53,Beauty and the Beast,Fantasy,1991,95,8.5,Gary Trousdale and Kirk Wise,84
54,Toy Story,Adventure,1995,95,8.8,John Lasseter,81
55,The Bride of Frankenstein,Sci-Fi,1935,95,8.1,James Whale,75
56,Don't Look Now,Drama,1973,95,6.8,Nicolas Roeg,110
57,The Social Network,Biography,2010,95,8.2,David Fincher,120
58,My Fair Lady,Drama,1964,95,7.8,George Cukor,170
59,Portrait of a Lady on Fire,Drama,2019,95,8.6,Céline Sciamma,122
60,I Am Not Your Negro,Documentary,2016,95,5.2,Raoul Peck,93
62,Double Indemnity,Drama,1944,95,8.5,Billy Wilder,107
63,Rocks,Drama,2021,95,6.6,Sarah Gavron,93
64,Snow White and the Seven Dwarfs,Fantasy,1938,95,8.2,Ben Sharpsteen and David Hand and Larry Morey and Perce Pearce and Wilfred Jackson and William Cottrell,83
65,The Hurt Locker,Action,2009,95,7.3,Kathryn Bigelow,131
66,Anatomy of a Murder,Drama,1959,95,8.0,Otto Preminger,160
67,Zero Dark Thirty,Action,2012,95,6.9,Kathryn Bigelow,157
68,Collective,Documentary,2020,95,7.9,Alexander Nanau,109
69,A Separation,Drama,2011,95,8.8,Asghar Farhadi,123
70,WALL-E,Adventure,2008,95,8.8,Andrew Stanton,98
71,Carol,Drama,2015,94,8.0,Todd Haynes,118
72,Before Midnight,Drama,2013,94,8.3,Richard Linklater,109
73,Amour,Drama,2012,94,8.0,Michael Haneke,127
74,Dunkirk,Action,2017,94,8.2,Christopher Nolan,106
75,The Man Who Shot Liberty Valance,Drama,1962,94,8.6,John Ford,123
76,The Searchers,Adventure,1956,94,7.3,John Ford,119
77,45 Years,Drama,2015,94,7.3,Andrew Haigh,95
78,The Servant,Drama,1964,94,7.5,Joseph Losey,116
79,Pulp Fiction,Drama,1994,94,9.0,Quentin Tarantino,154
80,The Manchurian Candidate,Drama,1962,94,8.1,John Frankenheimer,126
81,Mr. Turner,Biography,2014,94,6.9,Mike Leigh,150
82,The Irishman,Biography,2019,94,8.1,Martin Scorsese,209
83,Amazing Grace,Documentary,2018,94,8.2,Alan Elliott and Sydney Pollack,87
85,Shadow of a Doubt,Thriller,1943,94,8.2,Alfred Hitchcock,108
86,Inside Out,Adventure,2015,94,8.7,Pete Docter and Ronaldo Del Carmen,94
87,Sideways,Drama,2004,94,7.0,Alexander Payne,126
88,Schindler's List,Biography,1993,94,8.8,Steven Spielberg,195
89,Meet Me in St. Louis,Drama,1945,94,6.3,Vincente Minnelli,113
90,The Apartment,Drama,1960,94,7.8,Billy Wilder,125
91,Apocalypse Now,Action,1979,94,8.8,Francis Ford Coppola,153
92,The Gunfighter,Western,1950,94,6.7,Henry King,85
93,We Were Here,Documentary,2011,94,6.6,Bill Weber and David Weissman,90
94,Faces Places,Documentary,2017,94,6.9,Agnès Varda and JR,89
96,The Lord of the Rings: The Return of the King,Action,2003,94,8.9,Peter Jackson,201
97,Carlos,Biography,2010,94,7.9,Olivier Assayas,325
98,Marriage Story,Drama,2019,94,8.1,Noah Baumbach,137
99,La La Land,Drama,2016,94,8.4,Damien Chazelle,128
100,"Crouching Tiger, Hidden Dragon",Action,2000,94,8.1,Ang Lee,120
101,Petite Maman,Drama,2021,93,7.6,Céline Sciamma,72
102,Nomadland,Drama,2020,93,7.3,Chloé Zhao,107
103,Call Me by Your Name,Drama,2017,93,8.0,Luca Guadagnino,132
104,The Magnificent Ambersons,Drama,1942,93,8.6,Fred Fleck and Orson Welles and Robert Wise,88
105,Reversal of Fortune,Drama,1990,93,8.1,Barbet Schroeder,111
106,Lady Bird,Drama,2017,93,7.6,Greta Gerwig,94
107,Shoplifters,Drama,2018,93,8.3,Hirokazu Koreeda,121
109,The 39 Steps,Mystery,1935,93,8.0,Alfred Hitchcock,86
110,Duck Soup,Comedy,1933,93,7.7,Leo McCarey,68
111,Toni Erdmann,Drama,2016,93,7.0,Maren Ade,162
112,Yi Yi,Drama,2000,93,8.5,Edward Yang,173
113,McCabe & Mrs. Miller,Drama,1971,93,7.6,Robert Altman,120
114,The Best Years of Our Lives,Drama,1946,93,8.5,William Wyler,170
115,Stagecoach,Adventure,1939,93,7.6,John Ford,96
116,Inside Llewyn Davis,Drama,2013,93,7.8,Ethan Coen and Joel Coen,104
117,Sherpa,Documentary,2015,93,7.6,Jennifer Peedom,96
118,There Will Be Blood,Drama,2007,93,8.1,Paul Thomas Anderson,158
119,Badlands,Drama,1973,93,8.4,Terrence Malick,94
120,The Last Picture Show,Drama,1971,93,8.4,Peter Bogdanovich,118
121,Do the Right Thing,Drama,1989,93,8.2,Spike Lee,120
122,Sita Sings the Blues,Fantasy,2009,93,7.2,Nina Paley,82
123,The Decline of Western Civilization,History,1981,93,7.0,Penelope Spheeris,100
124,Yojimbo,Action,1961,93,8.0,Akira Kurosawa,110
125,Rio Bravo,Action,1959,93,8.0,Howard Hawks,141
126,Brother's Keeper,Mystery,1992,93,7.5,Bruce Sinofsky and Joe Berlinger,104
128,Crumb,Biography,1995,93,8.4,Terry Zwigoff,119
129,Spotlight,Biography,2015,93,8.2,Thomas McCarthy,128
131,One More Time with Feeling,Music,2016,92,7.8,Andrew Dominik,112
132,The Diving Bell and the Butterfly,Biography,2007,92,8.3,Julian Schnabel,112
133,Invasion of the Body Snatchers,Sci-Fi,1956,92,7.9,Don Siegel,80
135,The Class,Drama,2008,92,7.4,Laurent Cantet,128
136,Platoon,Drama,1987,92,8.0,Oliver Stone,120
137,35 Shots of Rum,Drama,2009,92,6.4,Claire Denis,100
138,Apocalypse Now: Final Cut,Drama,2019,92,8.5,Francis Ford Coppola,182
139,Chinatown,Drama,1974,92,8.7,Roman Polanski,130
140,The Florida Project,Drama,2017,92,7.4,Sean Baker,111
141,Timbuktu,Drama,2015,92,7.3,Abderrahmane Sissako,97
142,Frenzy,Thriller,1972,92,7.2,Alfred Hitchcock,116
143,Brief Encounter,Drama,1946,92,7.6,David Lean,86
144,No Country for Old Men,Drama,2007,92,7.9,Ethan Coen and Joel Coen,122
145,Cool Hand Luke,Drama,1967,92,8.6,Stuart Rosenberg,126
146,Little Women,Drama,1933,92,5.3,George Cukor,115
147,Maborosi,Drama,1997,92,7.8,Hirokazu Koreeda,110
148,Top Hat,Comedy,1935,92,7.0,Mark Sandrich,101
149,Apocalypse Now Redux,Action,2001,92,8.0,Francis Ford Coppola,153
150,Never Rarely Sometimes Always,Drama,2020,92,0.8,Eliza Hittman,101
151,The Lord of the Rings: The Fellowship of the Ring,Action,2001,92,9.1,Peter Jackson,178
152,Quiz Show,Drama,1994,92,8.5,Robert Redford,133
153,Leviathan,Drama,2014,92,7.3,Andrei Zvyagintsev,140
154,Werckmeister Harmonies,Sci-Fi,2001,92,7.9,Ágnes Hranitzky and Béla Tarr,145
155,Toy Story 3,Adventure,2010,92,8.9,Lee Unkrich,103
156,This Is Spinal Tap,Comedy,1984,92,8.1,Rob Reiner,82
157,The Look of Silence,Documentary,2015,92,8.3,Joshua Oppenheimer,103
158,Tower,History,2016,92,8.0,Keith Maitland,96
159,The Rider,Adventure,2018,92,7.5,Chloé Zhao,104
160,Drive My Car,Drama,2021,91,7.4,Ryûsuke Hamaguchi,179
161,Moolaadé,Drama,2004,91,8.0,Ousmane Sembene,124
162,Atanarjuat: The Fast Runner,Drama,2002,91,8.1,Zacharias Kunuk,172
163,Ikiru,Drama,1956,91,8.4,Akira Kurosawa,143
164,Time,Documentary,2020,91,5.4,Garrett Bradley,81
165,Gavagai,Drama,2018,91,6.0,Rob Tregenza,90
166,The Man Who Would Be King,Adventure,1975,91,6.9,John Huston,129
167,The Killing,Drama,1956,91,7.4,Stanley Kubrick,84
169,Breaking Away,Drama,1979,91,8.4,Peter Yates,101
170,The Souvenir,Drama,2019,91,6.3,Joanna Hogg,120
171,After Life,Drama,1999,91,6.4,Hirokazu Koreeda,118
172,Son of Saul,Drama,2015,91,7.3,László Nemes,107
174,Frankenstein,Sci-Fi,1931,91,8.1,James Whale,70
175,8½,Drama,1963,91,7.7,Federico Fellini,138
176,Little Women,Drama,2019,91,7.5,Greta Gerwig,135
177,E.T. The Extra-Terrestrial,Adventure,1982,91,8.2,Steven Spielberg,115
178,The African Queen,Adventure,1952,91,7.6,John Huston,105
179,The Triplets of Belleville,Adventure,2003,91,7.7,Sylvain Chomet,78
180,The Queen,Biography,2006,91,6.7,Stephen Frears,103
181,Flee,Biography,2021,91,7.5,Jonas Poher Rasmussen,89
182,All Quiet on the Western Front,Drama,1930,91,8.6,Lewis Milestone,136
183,The Ladykillers,Comedy,1956,91,7.7,Alexander Mackendrick,91
184,Young Mr. Lincoln,Biography,1939,91,8.0,John Ford,100
185,Stories We Tell,Documentary,2013,91,8.3,Sarah Polley,108
186,The Act of Killing,History,2013,91,8.4,Anonymous and Christine Cynn and Joshua Oppenheimer,115
187,On the Waterfront,Drama,1954,91,8.7,Elia Kazan,108
188,Jafar Panahi's Taxi,Drama,2015,91,7.1,Jafar Panahi,82
189,Ida,Drama,2014,91,7.5,Pawel Pawlikowski,82
190,Beau Travail,Drama,2000,91,7.6,Claire Denis,90
191,Her,Sci-Fi,2013,91,8.6,Spike Jonze,126
192,Uncut Gems,Drama,2019,91,7.2,Ben Safdie and Joshua Safdie,135
193,Waltz with Bashir,Biography,2008,91,7.9,Ari Folman,90
195,"This Is Not a Burial, It's a Resurrection",Drama,2021,91,6.2,Lemohang Jeremiah Mosese,120
196,They Shall Not Grow Old,History,2018,91,8.5,Peter Jackson,99
197,Secrets & Lies,Drama,1996,91,8.2,Mike Leigh,136
198,Memoria,Sci-Fi,2021,91,6.6,Apichatpong Weerasethakul,136
199,Patton,Biography,1970,91,8.3,Franklin J. Schaffner,172
200,The Favourite,Biography,2018,91,7.7,Giorgos Lanthimos,119
201,The Sweet Hereafter,Drama,1997,91,8.1,Atom Egoyan,112
202,The Right Stuff,Adventure,1983,91,8.0,Philip Kaufman,193
203,Bambi,Drama,1942,91,7.7,Bill Roberts and David Hand and Graham Heid and James Algar and Norman Wright and Paul Satterfield and Samuel Armstrong,70
204,Bringing Up Baby,Comedy,1938,91,7.5,Howard Hawks,102
205,The Gatekeepers,Documentary,2013,91,6.8,Dror Moreh,101
206,Nostalgia for the Light,Drama,2011,91,8.1,Patricio Guzmán,90
208,Saving Private Ryan,Action,1998,91,8.8,Steven Spielberg,169
209,Burning,Drama,2018,90,7.8,Chang-dong Lee,148
210,The Worst Person in the World,Drama,2022,90,7.7,Joachim Trier,121
211,Ben-Hur,Adventure,1959,90,8.4,William Wyler,212
212,After Hours,Thriller,1985,90,8.0,Martin Scorsese,97
213,The Crying Game,Thriller,1992,90,7.5,Neil Jordan,112
214,Great Expectations,Adventure,1947,90,8.0,David Lean,118
215,Winter's Bone,Drama,2010,90,7.3,Debra Granik,100
216,Gett: The Trial of Viviane Amsalem,Drama,2015,90,7.7,Ronit Elkabetz and Shlomi Elkabetz,115
217,I Called Him Morgan,Drama,2017,90,6.5,Kasper Collin,92
218,Close Encounters of the Third Kind,Adventure,1977,90,7.8,Steven Spielberg,135
219,The Godfather: Part II,Drama,1974,90,9.2,Francis Ford Coppola,200
221,The Hustler,Drama,1961,90,8.2,Robert Rossen,134
222,L.A. Confidential,Drama,1997,90,8.6,Curtis Hanson,138
223,Procession,Documentary,2021,90,6.1,Robert Greene,116
224,Bloody Sunday,Drama,2002,90,8.4,Paul Greengrass,107
225,My Voyage to Italy,Documentary,2001,90,7.1,Martin Scorsese,246
226,Phantom Thread,Drama,2017,90,7.8,Paul Thomas Anderson,130
227,Goodfellas,Biography,1990,90,8.7,Martin Scorsese,146
228,Wojnarowicz,Documentary,2021,90,2.5,Chris McKim,105
229,Hamilton,Biography,2020,90,7.6,Thomas Kail,160
230,Paths of the Soul,Drama,2016,90,5.5,Yang Zhang,115
231,It's Such a Beautiful Day,Sci-Fi,2012,90,8.0,Don Hertzfeldt,62
232,My Perestroika,Biography,2011,90,7.3,Robin Hessman,88
233,This Is Not a Film,Documentary,2012,90,6.3,Jafar Panahi and Mojtaba Mirtahmasb,75
234,The Birds,Drama,1963,90,7.8,Alfred Hitchcock,119
236,Finding Nemo,Adventure,2003,90,8.7,Andrew Stanton and Lee Unkrich,100
237,Topsy-Turvy,Biography,1999,90,8.0,Mike Leigh,160
238,Samurai Rebellion,Drama,1967,90,5.9,Masaki Kobayashi,128
239,King Kong,Adventure,1933,90,8.2,Ernest B. Schoedsack and Merian C. Cooper,100
240,The Incredibles,Action,2004,90,8.8,Brad Bird,115
241,Before Sunset,Drama,2004,90,8.6,Richard Linklater,80
242,Being John Malkovich,Drama,1999,90,8.7,Spike Jonze,112
243,A Prophet,Drama,2010,90,8.5,Jacques Audiard,155
244,Hard to Be a God,Sci-Fi,2015,90,5.4,Aleksei German,170
245,Almost Famous,Drama,2000,90,6.1,Cameron Crowe,122
246,Paths of Glory,Drama,1957,90,8.3,Stanley Kubrick,88
247,Cold War,Drama,2018,90,7.9,Pawel Pawlikowski,89
248,Big Men,Documentary,2014,90,7.4,Rachel Boynton,99
249,American Splendor,Biography,2003,90,7.8,Robert Pulcini and Shari Springer Berman,101
250,Hannah and Her Sisters,Drama,1986,90,8.0,Woody Allen,103
251,The Circus,Comedy,1929,90,8.1,Charles Chaplin,72
252,The Tale,Drama,2018,90,7.3,Jennifer Fox,114
253,Licorice Pizza,Drama,2021,90,6.6,Paul Thomas Anderson,133
254,Paterson,Drama,2016,90,7.9,Jim Jarmusch,118
255,Gosford Park,Drama,2001,90,7.3,Robert Altman,137
256,The Fits,Drama,2016,90,6.6,Anna Rose Holmer,72
257,The Souvenir: Part II,Drama,2021,90,5.9,Joanna Hogg,107
258,Mad Max: Fury Road,Action,2015,90,8.5,George Miller,120
259,United 93,Drama,2006,90,7.5,Paul Greengrass,111
260,Capturing the Friedmans,Biography,2003,90,8.0,Andrew Jarecki,107
261,The Truman Show,Drama,1998,90,6.7,Peter Weir,103
262,American Hustle,Drama,2013,90,7.3,David O. Russell,138
263,Star Wars: Episode IV - A New Hope,Action,1977,90,8.8,George Lucas,121
264,Persepolis,Biography,2007,90,8.5,Marjane Satrapi and Vincent Paronnaud,96
265,The Age of Innocence,Drama,1993,90,7.9,Martin Scorsese,139
266,The Best of Youth,Drama,2005,89,8.8,Marco Tullio Giordana,180
267,Who We Are: A Chronicle of Racism in America,Documentary,2022,89,3.8,Emily Kunstler and Sarah Kunstler,117
268,The Overnighters,Drama,2014,89,7.5,Jesse Moss,102
269,The Lives of Others,Drama,2006,89,8.7,Florian Henckel von Donnersmarck,137
271,House of Flying Daggers,Action,2004,89,8.8,Yimou Zhang,119
272,63 Up,Documentary,2019,89,7.2,Michael Apted,180
273,Minding the Gap,Documentary,2018,89,8.1,Bing Liu,93
275,Lost in Translation,Drama,2003,89,7.5,Sofia Coppola,102
276,Blue Is the Warmest Color,Drama,2013,89,7.8,Abdel Kechiche,179
277,Searching for Bobby Fischer,Biography,1993,89,7.3,Steven Zaillian,109
279,Assault on Precinct 13,Action,1976,89,7.5,John Carpenter,91
280,Man on Wire,Crime,2008,89,8.2,James Marsh,94
281,For Sama,Documentary,2019,89,7.7,Edward Watts and Waad Al-Khateab,100
284,Still Walking,Drama,2009,89,8.5,Hirokazu Koreeda,114
285,The Last Detail,Drama,1973,89,7.6,Hal Ashby,104
287,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,2006,89,7.4,Larry Charles,84
288,Minari,Drama,2020,89,8.0,Lee Isaac Chung,115
289,Barry Lyndon,Adventure,1975,89,8.6,Stanley Kubrick,184
290,The Farewell,Drama,2019,89,8.2,Lulu Wang,100
291,Elle,Drama,2016,89,7.2,Paul Verhoeven,130
292,Uncertain,Drama,2017,89,8.5,Anna Sandilands and Ewan McNicol,82
294,"Two Days, One Night",Drama,2014,89,8.5,Jean-Pierre Dardenne and Luc Dardenne,95
295,Great Freedom,Drama,2022,89,6.4,Sebastian Meise,116
296,Eighth Grade,Drama,2018,89,7.9,Bo Burnham,93
297,A Star Is Born,Drama,1954,89,8.2,George Cukor,154
298,First Cow,Drama,2020,89,7.0,Kelly Reichardt,122
299,No End in Sight,War,2007,89,8.2,Charles Ferguson,102
300,It's a Wonderful Life,Drama,1947,89,8.5,Frank Capra,130
301,The Madness of King George,Biography,1994,89,7.4,Nicholas Hytner,104
302,Phoenix,Drama,2015,89,7.8,Christian Petzold,98
303,Goodbye Solo,Drama,2009,89,7.5,Ramin Bahrani,91
304,Gunda,Documentary,2020,89,7.1,Victor Kossakovsky,93
305,Western,Western,2015,89,7.1,Bill Ross IV and Turner Ross,92
306,The Power of the Dog,Drama,2021,89,6.5,Jane Campion,125
307,Stop Making Sense,Music,1984,89,8.6,Jonathan Demme,88
308,Deep Red,Mystery,1976,89,8.2,Dario Argento,126
309,Downhill Racer,Drama,1969,89,8.0,Michael Ritchie,101
310,Columbus,Drama,2017,89,7.4,Kogonada,100
311,Night of the Living Dead,Horror,1968,89,8.0,George A. Romero,96
312,The Artist,Romance,2011,89,8.1,Michel Hazanavicius,100
314,Raging Bull,Biography,1980,89,7.1,Martin Scorsese,129
315,Eternal Sunshine of the Spotless Mind,Drama,2004,89,8.8,Michel Gondry,108
316,The Piano,Drama,1993,89,8.0,Jane Campion,121
319,Zama,Drama,2018,89,7.4,Lucrecia Martel,115
320,Dick Johnson Is Dead,Drama,2020,89,7.5,Kirsten Johnson,89
321,Rebel Without a Cause,Drama,1955,89,7.6,Nicholas Ray,111
322,Letters from Iwo Jima,Drama,2006,89,8.2,Clint Eastwood,141
323,A Woman Under the Influence,Drama,1974,88,7.8,John Cassavetes,155
324,Whiplash,Drama,2014,88,8.9,Damien Chazelle,107
325,Ghost World,Drama,2001,88,8.1,Terry Zwigoff,111
326,Once,Drama,2007,88,8.1,John Carney,85
327,Foreign Correspondent,Mystery,1940,88,7.5,Alfred Hitchcock,120
329,The Arbor,Biography,2011,88,7.6,Clio Barnard,94
330,Long Day's Journey Into Night,Drama,2019,88,7.1,Gan Bi,138
333,The Lion King,Adventure,1994,88,8.8,Rob Minkoff and Roger Allers,89
334,4 Little Girls,History,1997,88,7.6,Spike Lee,102
335,Wild Strawberries,Drama,1959,88,8.0,Ingmar Bergman,91
337,The Seventh Seal,Drama,1958,88,8.3,Ingmar Bergman,96
339,Azor,Drama,2021,88,6.2,Andreas Fontana,100
340,Y Tu Mamá También,Drama,2002,88,6.7,Alfonso Cuarón,106
341,Paddington 2,Adventure,2018,88,8.3,Paul King,103
342,The Little Mermaid,Fantasy,1989,88,7.7,John Musker and Ron Clements,83
343,City Hall,Documentary,2020,88,5.6,Frederick Wiseman,272
344,Capote,Biography,2005,88,7.7,Bennett Miller,114
345,The Death of Stalin,Biography,2018,88,7.4,Armando Iannucci,107
346,Miracle on 34th Street,Drama,1947,88,7.8,George Seaton,96
347,Strangers on a Train,Thriller,1951,88,8.7,Alfred Hitchcock,101
348,Tulpan,Drama,2009,88,6.3,Sergei Dvortsevoy,100
349,Manuscripts Don't Burn,Drama,2014,88,5.8,Mohammad Rasoulof,125
350,In Transit,Documentary,2017,88,4.8,Albert Maysles and Benjamin Wu and David Usui and Lynn True and Nelson Walker III,76
351,"Three Billboards Outside Ebbing, Missouri",Drama,2017,88,7.8,Martin McDonagh,115
352,Quest,Music,2017,88,7.2,Jonathan Olshefski,104
353,Au Revoir les Enfants,Drama,1988,88,7.8,Louis Malle,104
